"Country or Area","Year","Item","Value"
"Barbados","2021","Final consumption expenditure","4514350000"
"Barbados","2021","Household consumption expenditure (including Non-profit institutions serving households)","3888350000"
"Barbados","2021","General government final consumption expenditure","626000000"
"Barbados","2021","Gross capital formation","884600000"
"Barbados","2021","Gross fixed capital formation (including Acquisitions less disposals of valuables)","875100000"
"Barbados","2021","Changes in inventories","9500000"
"Barbados","2021","Exports of goods and services","1471300000"
"Barbados","2021","Imports of goods and services","1960350000"
"Barbados","2021","Gross Domestic Product (GDP)","4843800000"
"Barbados","2020","Final consumption expenditure","4360500000"
"Barbados","2020","Household consumption expenditure (including Non-profit institutions serving households)","3786350000"
"Barbados","2020","General government final consumption expenditure","574150000"
"Barbados","2020","Gross capital formation","849250000"
"Barbados","2020","Gross fixed capital formation (including Acquisitions less disposals of valuables)","839750000"
"Barbados","2020","Changes in inventories","9500000"
"Barbados","2020","Exports of goods and services","1389450000"
"Barbados","2020","Imports of goods and services","1719050000"
"Barbados","2020","Gross Domestic Product (GDP)","4671800000"
"Barbados","2019","Final consumption expenditure","4472150000"
"Barbados","2019","Household consumption expenditure (including Non-profit institutions serving households)","3891450000"
"Barbados","2019","General government final consumption expenditure","580700000"
"Barbados","2019","Gross capital formation","771750000"
"Barbados","2019","Gross fixed capital formation (including Acquisitions less disposals of valuables)","762200000"
"Barbados","2019","Changes in inventories","9550000"
"Barbados","2019","Exports of goods and services","1942400000"
"Barbados","2019","Imports of goods and services","2021650000"
"Barbados","2019","Gross Domestic Product (GDP)","5324250000"
"Barbados","2018","Final consumption expenditure","4423074500"
"Barbados","2018","Household consumption expenditure (including Non-profit institutions serving households)","3822015500"
"Barbados","2018","General government final consumption expenditure","601059000"
"Barbados","2018","Gross capital formation","727009500"
"Barbados","2018","Gross fixed capital formation (including Acquisitions less disposals of valuables)","717492000"
"Barbados","2018","Changes in inventories","9517500"
"Barbados","2018","Exports of goods and services","1810777500"
"Barbados","2018","Imports of goods and services","2035800000"
"Barbados","2018","Gross Domestic Product (GDP)","5097282500"
"Barbados","2017","Final consumption expenditure","4432618500"
"Barbados","2017","Household consumption expenditure (including Non-profit institutions serving households)","3827513000"
"Barbados","2017","General government final consumption expenditure","605105500"
"Barbados","2017","Gross capital formation","778175500"
"Barbados","2017","Gross fixed capital formation (including Acquisitions less disposals of valuables)","768658000"
"Barbados","2017","Changes in inventories","9517500"
"Barbados","2017","Exports of goods and services","1781072000"
"Barbados","2017","Imports of goods and services","2027176500"
"Barbados","2017","Gross Domestic Product (GDP)","4981588500"
"Barbados","2016","Final consumption expenditure","4423698500"
"Barbados","2016","Household consumption expenditure (including Non-profit institutions serving households)","3775120000"
"Barbados","2016","General government final consumption expenditure","648578500"
"Barbados","2016","Gross capital formation","791860000"
"Barbados","2016","Gross fixed capital formation (including Acquisitions less disposals of valuables)","782343000"
"Barbados","2016","Changes in inventories","9517000"
"Barbados","2016","Exports of goods and services","1765692000"
"Barbados","2016","Imports of goods and services","2035110000"
"Barbados","2016","Gross Domestic Product (GDP)","4832812000"
"Barbados","2015","Final consumption expenditure","4272840500"
"Barbados","2015","Household consumption expenditure (including Non-profit institutions serving households)","3629915000"
"Barbados","2015","General government final consumption expenditure","642925500"
"Barbados","2015","Gross capital formation","797933500"
"Barbados","2015","Gross fixed capital formation (including Acquisitions less disposals of valuables)","788416000"
"Barbados","2015","Changes in inventories","9517500"
"Barbados","2015","Exports of goods and services","1892295000"
"Barbados","2015","Imports of goods and services","2234373000"
"Barbados","2015","Gross Domestic Product (GDP)","4724691000"
"Barbados","2014","Final consumption expenditure","4295857000"
"Barbados","2014","Household consumption expenditure (including Non-profit institutions serving households)","3622026500"
"Barbados","2014","General government final consumption expenditure","673830500"
"Barbados","2014","Gross capital formation","776495000"
"Barbados","2014","Gross fixed capital formation (including Acquisitions less disposals of valuables)","766977500"
"Barbados","2014","Changes in inventories","9517500"
"Barbados","2014","Exports of goods and services","1879250000"
"Barbados","2014","Imports of goods and services","2336350000"
"Barbados","2014","Gross Domestic Product (GDP)","4696344500"
"Barbados","2013","Final consumption expenditure","4240148000"
"Barbados","2013","Household consumption expenditure (including Non-profit institutions serving households)","3548377000"
"Barbados","2013","General government final consumption expenditure","691771000"
"Barbados","2013","Gross capital formation","772805500"
"Barbados","2013","Gross fixed capital formation (including Acquisitions less disposals of valuables)","763288000"
"Barbados","2013","Changes in inventories","9517500"
"Barbados","2013","Exports of goods and services","1914200000"
