"Country or Area","Year","Area","Sex","Religion","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Barbados","2010","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2016","226193","1"
"Barbados","2010","Total","Both Sexes","Adventist","Census - de jure - complete tabulation","Final figure, complete","2016","13437","1"
"Barbados","2010","Total","Both Sexes","Anglican","Census - de jure - complete tabulation","Final figure, complete","2016","53969","1"
"Barbados","2010","Total","Both Sexes","Baha'i","Census - de jure - complete tabulation","Final figure, complete","2016","98","1"
"Barbados","2010","Total","Both Sexes","Baptist","Census - de jure - complete tabulation","Final figure, complete","2016","4082","1"
"Barbados","2010","Total","Both Sexes","Brethren","Census - de jure - complete tabulation","Final figure, complete","2016","1075","1"
"Barbados","2010","Total","Both Sexes","Church of God","Census - de jure - complete tabulation","Final figure, complete","2016","5356","1"
"Barbados","2010","Total","Both Sexes","Hindu","Census - de jure - complete tabulation","Final figure, complete","2016","1055","1"
"Barbados","2010","Total","Both Sexes","Jehovah Witness","Census - de jure - complete tabulation","Final figure, complete","2016","4515","1"
"Barbados","2010","Total","Both Sexes","Jewish","Census - de jure - complete tabulation","Final figure, complete","2016","103","1"
"Barbados","2010","Total","Both Sexes","Methodist","Census - de jure - complete tabulation","Final figure, complete","2016","9461","1"
"Barbados","2010","Total","Both Sexes","Moravian","Census - de jure - complete tabulation","Final figure, complete","2016","2692","1"
"Barbados","2010","Total","Both Sexes","Mormon","Census - de jure - complete tabulation","Final figure, complete","2016","235","1"
"Barbados","2010","Total","Both Sexes","Muslim","Census - de jure - complete tabulation","Final figure, complete","2016","1605","1"
"Barbados","2010","Total","Both Sexes","Nazarene","Census - de jure - complete tabulation","Final figure, complete","2016","7300","1"
"Barbados","2010","Total","Both Sexes","Pentecostal","Census - de jure - complete tabulation","Final figure, complete","2016","44093","1"
"Barbados","2010","Total","Both Sexes","Rastafarian","Census - de jure - complete tabulation","Final figure, complete","2016","2332","1"
"Barbados","2010","Total","Both Sexes","Roman Catholic","Census - de jure - complete tabulation","Final figure, complete","2016","8679","1"
"Barbados","2010","Total","Both Sexes","Salvation Army","Census - de jure - complete tabulation","Final figure, complete","2016","879","1"
"Barbados","2010","Total","Both Sexes","Wesleyan","Census - de jure - complete tabulation","Final figure, complete","2016","7701","1"
"Barbados","2010","Total","Both Sexes","Other Christians","Census - de jure - complete tabulation","Final figure, complete","2016","7567","1"
"Barbados","2010","Total","Both Sexes","No Religion","Census - de jure - complete tabulation","Final figure, complete","2016","46559","1"
"Barbados","2010","Total","Both Sexes","Not Specified","Census - de jure - complete tabulation","Final figure, complete","2016","2776","1"
"Barbados","2010","Total","Both Sexes","Other Non-Christians","Census - de jure - complete tabulation","Final figure, complete","2016","624","1"
"Barbados","2010","Total","Male","Total","Census - de jure - complete tabulation","Final figure, complete","2016","108271","1"
"Barbados","2010","Total","Male","Adventist","Census - de jure - complete tabulation","Final figure, complete","2016","5976","1"
"Barbados","2010","Total","Male","Anglican","Census - de jure - complete tabulation","Final figure, complete","2016","24772","1"
"Barbados","2010","Total","Male","Baha'i","Census - de jure - complete tabulation","Final figure, complete","2016","50","1"
"Barbados","2010","Total","Male","Baptist","Census - de jure - complete tabulation","Final figure, complete","2016","1730","1"
"Barbados","2010","Total","Male","Brethren","Census - de jure - complete tabulation","Final figure, complete","2016","495","1"
"Barbados","2010","Total","Male","Church of God","Census - de jure - complete tabulation","Final figure, complete","2016","2237","1"
"Barbados","2010","Total","Male","Hindu","Census - de jure - complete tabulation","Final figure, complete","2016","605","1"
"Barbados","2010","Total","Male","Jehovah Witness","Census - de jure - complete tabulation","Final figure, complete","2016","1929","1"
"Barbados","2010","Total","Male","Jewish","Census - de jure - complete tabulation","Final figure, complete","2016","51","1"
"Barbados","2010","Total","Male","Methodist","Census - de jure - complete tabulation","Final figure, complete","2016","3994","1"
"Barbados","2010","Total","Male","Moravian","Census - de jure - complete tabulation","Final figure, complete","2016","1151","1"
"Barbados","2010","Total","Male","Mormon","Census - de jure - complete tabulation","Final figure, complete","2016","96","1"
"Barbados","2010","Total","Male","Muslim","Census - de jure - complete tabulation","Final figure, complete","2016","883","1"
"Barbados","2010","Total","Male","Nazarene","Census - de jure - complete tabulation","Final figure, complete","2016","2959","1"
"Barbados","2010","Total","Male","Pentecostal","Census - de jure - complete tabulation","Final figure, complete","2016","17975","1"
"Barbados","2010","Total","Male","Rastafarian","Census - de jure - complete tabulation","Final figure, complete","2016","1790","1"
"Barbados","2010","Total","Male","Roman Catholic","Census - de jure - complete tabulation","Final figure, complete","2016","3772","1"
"Barbados","2010","Total","Male","Salvation Army","Census - de jure - complete tabulation","Final figure, complete","2016","356","1"
"Barbados","2010","Total","Male","Wesleyan","Census - de jure - complete tabulation","Final figure, complete","2016","3231","1"
"Barbados","2010","Total","Male","Other Christians","Census - de jure - complete tabulation","Final figure, complete","2016","3507","1"
"Barbados","2010","Total","Male","No Religion","Census - de jure - complete tabulation","Final figure, complete","2016","29285","1"
"Barbados","2010","Total","Male","Not Specified","Census - de jure - complete tabulation","Final figure, complete","2016","1106","1"
"Barbados","2010","Total","Male","Other Non-Christians","Census - de jure - complete tabulation","Final figure, complete","2016","321","1"
"Barbados","2010","Total","Female","Total","Census - de jure - complete tabulation","Final figure, complete","2016","117922","1"
"Barbados","2010","Total","Female","Adventist","Census - de jure - complete tabulation","Final figure, complete","2016","7461","1"
"Barbados","2010","Total","Female","Anglican","Census - de jure - complete tabulation","Final figure, complete","2016","29197","1"
"Barbados","2010","Total","Female","Baha'i","Census - de jure - complete tabulation","Final figure, complete","2016","48","1"
"Barbados","2010","Total","Female","Baptist","Census - de jure - complete tabulation","Final figure, complete","2016","2352","1"
"Barbados","2010","Total","Female","Brethren","Census - de jure - complete tabulation","Final figure, complete","2016","580","1"
"Barbados","2010","Total","Female","Church of God","Census - de jure - complete tabulation","Final figure, complete","2016","3119","1"
"Barbados","2010","Total","Female","Hindu","Census - de jure - complete tabulation","Final figure, complete","2016","450","1"
"Barbados","2010","Total","Female","Jehovah Witness","Census - de jure - complete tabulation","Final figure, complete","2016","2586","1"
"Barbados","2010","Total","Female","Jewish","Census - de jure - complete tabulation","Final figure, complete","2016","52","1"
"Barbados","2010","Total","Female","Methodist","Census - de jure - complete tabulation","Final figure, complete","2016","5467","1"
"Barbados","2010","Total","Female","Moravian","Census - de jure - complete tabulation","Final figure, complete","2016","1541","1"
"Barbados","2010","Total","Female","Mormon","Census - de jure - complete tabulation","Final figure, complete","2016","139","1"
"Barbados","2010","Total","Female","Muslim","Census - de jure - complete tabulation","Final figure, complete","2016","722","1"
