"Country or Area","Year(s)","Variant","Value"
"Antigua and Barbuda","2101","Medium",""
"Antigua and Barbuda","2100","Medium","1.6371"
"Antigua and Barbuda","2099","Medium","1.6259"
"Antigua and Barbuda","2098","Medium","1.6217"
"Antigua and Barbuda","2097","Medium","1.6315"
"Antigua and Barbuda","2096","Medium","1.6352"
"Antigua and Barbuda","2095","Medium","1.6323"
"Antigua and Barbuda","2094","Medium","1.6288"
"Antigua and Barbuda","2093","Medium","1.6265"
"Antigua and Barbuda","2092","Medium","1.6174"
"Antigua and Barbuda","2091","Medium","1.6207"
"Antigua and Barbuda","2090","Medium","1.632"
"Antigua and Barbuda","2089","Medium","1.6297"
"Antigua and Barbuda","2088","Medium","1.6277"
"Antigua and Barbuda","2087","Medium","1.6253"
"Antigua and Barbuda","2086","Medium","1.6224"
"Antigua and Barbuda","2085","Medium","1.621"
"Antigua and Barbuda","2084","Medium","1.6145"
"Antigua and Barbuda","2083","Medium","1.6165"
"Antigua and Barbuda","2082","Medium","1.6166"
"Antigua and Barbuda","2081","Medium","1.6165"
"Antigua and Barbuda","2080","Medium","1.6208"
"Antigua and Barbuda","2079","Medium","1.6177"
"Antigua and Barbuda","2078","Medium","1.6195"
"Antigua and Barbuda","2077","Medium","1.6123"
"Antigua and Barbuda","2076","Medium","1.6168"
"Antigua and Barbuda","2075","Medium","1.6155"
"Antigua and Barbuda","2074","Medium","1.615"
"Antigua and Barbuda","2073","Medium","1.6161"
"Antigua and Barbuda","2072","Medium","1.6098"
"Antigua and Barbuda","2071","Medium","1.6073"
"Antigua and Barbuda","2070","Medium","1.604"
"Antigua and Barbuda","2069","Medium","1.6037"
"Antigua and Barbuda","2068","Medium","1.601"
"Antigua and Barbuda","2067","Medium","1.6018"
"Antigua and Barbuda","2066","Medium","1.6048"
"Antigua and Barbuda","2065","Medium","1.604"
"Antigua and Barbuda","2064","Medium","1.602"
"Antigua and Barbuda","2063","Medium","1.5942"
"Antigua and Barbuda","2062","Medium","1.5952"
"Antigua and Barbuda","2061","Medium","1.599"
"Antigua and Barbuda","2060","Medium","1.6"
"Antigua and Barbuda","2059","Medium","1.6015"
"Antigua and Barbuda","2058","Medium","1.6032"
"Antigua and Barbuda","2057","Medium","1.5954"
"Antigua and Barbuda","2056","Medium","1.5934"
"Antigua and Barbuda","2055","Medium","1.5959"
"Antigua and Barbuda","2054","Medium","1.5957"
"Antigua and Barbuda","2053","Medium","1.5918"
"Antigua and Barbuda","2052","Medium","1.5918"
"Antigua and Barbuda","2051","Medium","1.5852"
"Antigua and Barbuda","2050","Medium","1.5885"
"Antigua and Barbuda","2049","Medium","1.5827"
"Antigua and Barbuda","2048","Medium","1.5844"
"Antigua and Barbuda","2047","Medium","1.5864"
"Antigua and Barbuda","2046","Medium","1.5897"
"Antigua and Barbuda","2045","Medium","1.5869"
"Antigua and Barbuda","2044","Medium","1.579"
"Antigua and Barbuda","2043","Medium","1.5774"
"Antigua and Barbuda","2042","Medium","1.5739"
"Antigua and Barbuda","2041","Medium","1.5791"
"Antigua and Barbuda","2040","Medium","1.5835"
"Antigua and Barbuda","2039","Medium","1.5818"
"Antigua and Barbuda","2038","Medium","1.5811"
"Antigua and Barbuda","2037","Medium","1.5786"
"Antigua and Barbuda","2036","Medium","1.5755"
"Antigua and Barbuda","2035","Medium","1.583"
"Antigua and Barbuda","2034","Medium","1.5836"
"Antigua and Barbuda","2033","Medium","1.5836"
"Antigua and Barbuda","2032","Medium","1.5772"
"Antigua and Barbuda","2031","Medium","1.5782"
"Antigua and Barbuda","2030","Medium","1.5816"
"Antigua and Barbuda","2029","Medium","1.578"
"Antigua and Barbuda","2028","Medium","1.5775"
"Antigua and Barbuda","2027","Medium","1.5752"
"Antigua and Barbuda","2026","Medium","1.5735"
"Antigua and Barbuda","2025","Medium","1.5777"
"Antigua and Barbuda","2024","Medium","1.5753"
"Antigua and Barbuda","2023","Medium","1.5783"
"Antigua and Barbuda","2022","Medium","1.5801"
"Antigua and Barbuda","2021","Medium","1.5798"
"Antigua and Barbuda","2020","Medium","1.5694"
"Antigua and Barbuda","2019","Medium","1.4684"
"Antigua and Barbuda","2018","Medium","1.3713"
"Antigua and Barbuda","2017","Medium","1.4847"
"Antigua and Barbuda","2016","Medium","1.4581"
"Antigua and Barbuda","2015","Medium","1.5665"
"Antigua and Barbuda","2014","Medium","1.5265"
"Antigua and Barbuda","2013","Medium","1.5365"
"Antigua and Barbuda","2012","Medium","1.6554"
"Antigua and Barbuda","2011","Medium","1.7455"
"Antigua and Barbuda","2010","Medium","1.7854"
"Antigua and Barbuda","2009","Medium","2.0062"
"Antigua and Barbuda","2008","Medium","2.0415"
"Antigua and Barbuda","2007","Medium","1.8602"
"Antigua and Barbuda","2006","Medium","1.8313"
"Antigua and Barbuda","2005","Medium","1.8324"
"Antigua and Barbuda","2004","Medium","1.8518"
"Antigua and Barbuda","2003","Medium","1.8874"
"Antigua and Barbuda","2002","Medium","1.9403"
"Antigua and Barbuda","2001","Medium","2.0182"
"Antigua and Barbuda","2000","Medium","2.1961"
"Antigua and Barbuda","1999","Medium","1.9561"
"Antigua and Barbuda","1998","Medium","2.0169"
"Antigua and Barbuda","1997","Medium","2.1903"
"Antigua and Barbuda","1996","Medium","2.2663"
"Antigua and Barbuda","1995","Medium","2.159"
"Antigua and Barbuda","1994","Medium","2.069"
"Antigua and Barbuda","1993","Medium","2.0363"
"Antigua and Barbuda","1992","Medium","2.1262"
"Antigua and Barbuda","1991","Medium","2.0362"
"Antigua and Barbuda","1990","Medium","2.2492"
"Antigua and Barbuda","1989","Medium","2.1992"
"Antigua and Barbuda","1988","Medium","2.132"
"Antigua and Barbuda","1987","Medium","2.0668"
"Antigua and Barbuda","1986","Medium","2.0322"
"Antigua and Barbuda","1985","Medium","2.1512"
"Antigua and Barbuda","1984","Medium","2.0383"
"Antigua and Barbuda","1983","Medium","2.1155"
"Antigua and Barbuda","1982","Medium","2.0872"
"Antigua and Barbuda","1981","Medium","2.1658"
"Antigua and Barbuda","1980","Medium","2.3114"
"Antigua and Barbuda","1979","Medium","2.6318"
"Antigua and Barbuda","1978","Medium","2.5733"
"Antigua and Barbuda","1977","Medium","2.7838"
"Antigua and Barbuda","1976","Medium","2.7802"
"Antigua and Barbuda","1975","Medium","2.7703"
"Antigua and Barbuda","1974","Medium","2.9321"
"Antigua and Barbuda","1973","Medium","3.1259"
"Antigua and Barbuda","1972","Medium","3.2871"
"Antigua and Barbuda","1971","Medium","3.4546"
"Antigua and Barbuda","1970","Medium","3.6277"
"Antigua and Barbuda","1969","Medium","3.8287"
"Antigua and Barbuda","1968","Medium","4.0145"
"Antigua and Barbuda","1967","Medium","4.178"
"Antigua and Barbuda","1966","Medium","4.3224"
"Antigua and Barbuda","1965","Medium","4.4156"
"Antigua and Barbuda","1964","Medium","4.4844"
"Antigua and Barbuda","1963","Medium","4.5357"
"Antigua and Barbuda","1962","Medium","4.5465"
"Antigua and Barbuda","1961","Medium","4.5592"
"Antigua and Barbuda","1960","Medium","4.6022"
"Antigua and Barbuda","1959","Medium","4.6595"
"Antigua and Barbuda","1958","Medium","4.7192"
"Antigua and Barbuda","1957","Medium","4.7686"
"Antigua and Barbuda","1956","Medium","4.8193"
"Antigua and Barbuda","1955","Medium","4.8663"
"Antigua and Barbuda","1954","Medium","4.9165"
"Antigua and Barbuda","1953","Medium","4.9547"
"Antigua and Barbuda","1952","Medium","5.0106"
"Antigua and Barbuda","1951","Medium","5.0629"
"Antigua and Barbuda","1950","Medium","5.1241"
"Barbados","2101","Medium",""
"Barbados","2100","Medium","1.6381"
"Barbados","2099","Medium","1.6406"
"Barbados","2098","Medium","1.6442"
"Barbados","2097","Medium","1.6422"
"Barbados","2096","Medium","1.6366"
"Barbados","2095","Medium","1.6395"
"Barbados","2094","Medium","1.6406"
"Barbados","2093","Medium","1.6407"
"Barbados","2092","Medium","1.6424"
"Barbados","2091","Medium","1.6441"
"Barbados","2090","Medium","1.6436"
"Barbados","2089","Medium","1.6399"
"Barbados","2088","Medium","1.6394"
"Barbados","2087","Medium","1.6333"
"Barbados","2086","Medium","1.634"
"Barbados","2085","Medium","1.638"
"Barbados","2084","Medium","1.6404"
"Barbados","2083","Medium","1.6387"
"Barbados","2082","Medium","1.6408"
"Barbados","2081","Medium","1.6303"
"Barbados","2080","Medium","1.633"
"Barbados","2079","Medium","1.6353"
"Barbados","2078","Medium","1.63"
"Barbados","2077","Medium","1.6285"
"Barbados","2076","Medium","1.6345"
"Barbados","2075","Medium","1.6351"
"Barbados","2074","Medium","1.6352"
"Barbados","2073","Medium","1.6387"
"Barbados","2072","Medium","1.6465"
"Barbados","2071","Medium","1.6403"
"Barbados","2070","Medium","1.6346"
"Barbados","2069","Medium","1.6424"
"Barbados","2068","Medium","1.6361"
"Barbados","2067","Medium","1.638"
"Barbados","2066","Medium","1.6426"
"Barbados","2065","Medium","1.6416"
"Barbados","2064","Medium","1.6365"
"Barbados","2063","Medium","1.6371"
"Barbados","2062","Medium","1.6425"
"Barbados","2061","Medium","1.6364"
"Barbados","2060","Medium","1.6364"
"Barbados","2059","Medium","1.6407"
"Barbados","2058","Medium","1.638"
"Barbados","2057","Medium","1.6385"
"Barbados","2056","Medium","1.6389"
